MMDDHH SIN_mg.cm3.h STP_oC SWC SWP_MPa pH
010708 1.06e-05 4.173 0.27985 -0.15438675 7.34
010709 1.06e-05 4.173 0.27985 -0.15438675 7.34
010710 1.06e-05 4.173 0.27985 -0.15438675 7.34
010711 1.06e-05 4.173 0.27985 -0.15438675 7.34
010712 1.06e-05 4.173 0.27985 -0.15438675 7.34
010713 1.06e-05 4.173 0.27985 -0.15438675 7.34
010714 1.06e-05 4.173 0.27985 -0.15438675 7.34
010715 1.06e-05 4.173 0.27985 -0.15438675 7.34
010716 1.06e-05 4.173 0.27985 -0.15438675 7.34
010717 1.06e-05 4.173 0.27985 -0.15438675 7.34
010718 1.06e-05 4.173 0.27985 -0.15438675 7.34
010719 1.06e-05 4.173 0.27985 -0.15438675 7.34
010720 1.06e-05 4.173 0.27985 -0.15438675 7.34
010721 1.06e-05 4.173 0.27985 -0.15438675 7.34
010722 1.06e-05 4.173 0.27985 -0.15438675 7.34
010723 1.06e-05 4.173 0.27985 -0.15438675 7.34
010724 1.06e-05 4.173 0.27985 -0.15438675 7.34
010801 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010802 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010803 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010804 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010805 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010806 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010807 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010808 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010809 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010810 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010811 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010812 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010813 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010814 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010815 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010816 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010817 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010818 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010819 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010820 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010821 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010822 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010823 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010824 1.06e-05 4.5025 0.28035 -0.1537191 7.34
010901 1.26e-05 4.609 0.2805 -0.15356905 7.34
010902 1.26e-05 4.609 0.2805 -0.15356905 7.34
010903 1.26e-05 4.609 0.2805 -0.15356905 7.34
010904 1.26e-05 4.609 0.2805 -0.15356905 7.34
010905 1.26e-05 4.609 0.2805 -0.15356905 7.34
010906 1.26e-05 4.609 0.2805 -0.15356905 7.34
010907 1.26e-05 4.609 0.2805 -0.15356905 7.34
010908 1.26e-05 4.609 0.2805 -0.15356905 7.34
010909 1.26e-05 4.609 0.2805 -0.15356905 7.34
010910 1.26e-05 4.609 0.2805 -0.15356905 7.34
010911 1.26e-05 4.609 0.2805 -0.15356905 7.34
010912 1.26e-05 4.609 0.2805 -0.15356905 7.34
010913 1.26e-05 4.609 0.2805 -0.15356905 7.34
010914 1.26e-05 4.609 0.2805 -0.15356905 7.34
010915 1.26e-05 4.609 0.2805 -0.15356905 7.34
010916 1.26e-05 4.609 0.2805 -0.15356905 7.34
010917 1.26e-05 4.609 0.2805 -0.15356905 7.34
010918 1.26e-05 4.609 0.2805 -0.15356905 7.34
010919 1.26e-05 4.609 0.2805 -0.15356905 7.34
010920 1.26e-05 4.609 0.2805 -0.15356905 7.34
010921 1.26e-05 4.609 0.2805 -0.15356905 7.34
010922 1.26e-05 4.609 0.2805 -0.15356905 7.34
010923 1.26e-05 4.609 0.2805 -0.15356905 7.34
010924 1.26e-05 4.609 0.2805 -0.15356905 7.34
011001 1.26e-05 4.783 0.28335 -0.1526598 7.34
011002 1.26e-05 4.783 0.28335 -0.1526598 7.34
011003 1.26e-05 4.783 0.28335 -0.1526598 7.34
011004 1.26e-05 4.783 0.28335 -0.1526598 7.34
011005 1.26e-05 4.783 0.28335 -0.1526598 7.34
011006 1.26e-05 4.783 0.28335 -0.1526598 7.34
011007 1.26e-05 4.783 0.28335 -0.1526598 7.34
011008 1.26e-05 4.783 0.28335 -0.1526598 7.34
011009 1.26e-05 4.783 0.28335 -0.1526598 7.34
011010 1.26e-05 4.783 0.28335 -0.1526598 7.34
011011 1.26e-05 4.783 0.28335 -0.1526598 7.34
011012 1.26e-05 4.783 0.28335 -0.1526598 7.34
011013 1.26e-05 4.783 0.28335 -0.1526598 7.34
011014 1.26e-05 4.783 0.28335 -0.1526598 7.34
011015 1.26e-05 4.783 0.28335 -0.1526598 7.34
011016 1.26e-05 4.783 0.28335 -0.1526598 7.34
011017 1.26e-05 4.783 0.28335 -0.1526598 7.34
011018 1.26e-05 4.783 0.28335 -0.1526598 7.34
011019 1.26e-05 4.783 0.28335 -0.1526598 7.34
011020 1.26e-05 4.783 0.28335 -0.1526598 7.34
011021 1.26e-05 4.783 0.28335 -0.1526598 7.34
011022 1.26e-05 4.783 0.28335 -0.1526598 7.34
